"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000000003.15"	1580.00985774665	-0.0395254341563453	0.107596135693216	-0.36734994153547	0.713358006101128	0.854181722361182
"ENSG00000000419.12"	2076.50795824093	0.353708803791276	0.0894968375386651	3.95219332346201	7.74381388240335e-05	0.00099321262784084
"ENSG00000000457.14"	1025.64708821357	-0.264849378538582	0.102311363221061	-2.58866044005621	0.00963500513850779	0.0514427115437771
"ENSG00000000460.17"	1745.26082948201	-0.0858264555794158	0.105114989343647	-0.816500635307372	0.414213860319934	0.648174762105526
"ENSG00000000971.15"	178.861337224726	-0.0843729637201199	0.225797134683601	-0.373667114236625	0.708651994860515	0.851675221536774
"ENSG00000001036.14"	4659.76365495939	-0.139471628702416	0.0639102443418186	-2.18230473281347	0.0290870499516926	0.115789621746054
"ENSG00000001084.13"	2455.91830569769	-0.534239013517337	0.180735418282027	-2.95591765352649	0.00311740309318763	0.0216333640345892
"ENSG00000001167.14"	4353.92767570028	0.162628393309157	0.0675928364237668	2.40600042716914	0.0161282458554126	0.0753618000876219
"ENSG00000001460.18"	1009.27267894299	-0.179324121851164	0.127928156094685	-1.4017564805549	0.160987978163741	0.369862761370316
"ENSG00000001461.17"	4381.01229840062	-0.335865354183663	0.0623264543266887	-5.38880893854799	7.09261577934731e-08	2.02698718590268e-06
"ENSG00000001497.16"	3638.31153790304	-0.0256157362746383	0.0798452279978141	-0.320817372771978	0.748348793185107	0.875881226661395
"ENSG00000001561.7"	1906.69420932551	-0.191724126693846	0.111168463785198	-1.72462693254716	0.0845947265601463	0.243887057004189
"ENSG00000001617.12"	484.47170531619	-0.0168309254500242	0.130098917115779	-0.129370219392724	0.897064711108432	0.952669404119893
"ENSG00000001629.10"	7165.42901011688	-0.302996560609583	0.168649879614287	-1.79660110818078	0.0723989683594397	0.218609335631583
"ENSG00000001630.17"	9001.61893758902	-0.382610556804472	0.0653082874973169	-5.85852992731116	4.66982468654601e-09	1.63681514140385e-07
"ENSG00000001631.15"	2490.17799095746	-0.0872082583275664	0.122408986989736	-0.712433461563398	0.476196400973359	0.697957576584906
"ENSG00000002016.18"	588.3699258729	-0.757930340047154	0.20321392642296	-3.72971652774247	0.000191695312777186	0.00214857846501687
"ENSG00000002079.14"	250.965241943587	0.0848743855475023	0.188430627341292	0.450427760842587	0.652402031634908	0.818170405990985
"ENSG00000002330.13"	3274.14612611775	0.0754331513805652	0.0746829311796312	1.01004540380358	0.312473537479308	0.553183778277532
"ENSG00000002549.12"	3928.30939955804	-0.185698273056862	0.0767904391985893	-2.41824731040571	0.0155954732330117	0.0734704664106485
"ENSG00000002586.20"	12066.5383766364	0.112562280251074	0.0805819744008111	1.39686674455498	0.162453646618598	0.372268291830916
"ENSG00000002587.10"	600.081750830795	0.321580424926254	0.23978452881662	1.34112249240312	0.179880685694342	0.399267877125291
"ENSG00000002746.15"	153.776782782919	-0.316907455262501	0.306920213552141	-1.03254018884834	0.301819130865393	0.543960477895402
"ENSG00000002822.15"	1974.26833069642	-0.0711521663845676	0.136222179817495	-0.522324385646261	0.601444493236795	0.784649492876086
"ENSG00000002834.18"	32556.3814418091	0.00605633865290986	0.046409278497153	0.130498444471215	0.896172084751767	0.952455093546454
"ENSG00000002919.14"	1428.30925051343	-0.0517212742276477	0.0965668908519085	-0.535600491756182	0.592234688821529	0.77762204160867
"ENSG00000003056.8"	5792.58959690422	-0.194678379052986	0.137972236153018	-1.41099676631375	0.15824556750984	0.365253467233251
"ENSG00000003096.14"	9.4599386690667	0.739919327551479	1.02927172945956	0.718876567162673	0.472216975666837	NA
"ENSG00000003137.8"	655.676080177014	0.3402632334028	0.146711777458087	2.31926324728776	0.0203807669364984	0.0893239149062253
"ENSG00000003147.19"	506.270701981782	-0.214378572098359	0.13379214007163	-1.60232560734572	0.109083625913175	0.288412081948941
"ENSG00000003249.13"	45.9099029781453	0.109637635667045	0.460252715542469	0.238211817040171	0.811716812226307	0.909548403228215
"ENSG00000003393.15"	2310.22134629535	-0.19082450749284	0.0876270181599434	-2.17769030031962	0.0294291015369736	0.116772520809598
"ENSG00000003400.14"	516.834025075551	-0.183018925813509	0.158453847977216	-1.15502985979757	0.248078198913068	0.483965046031372
"ENSG00000003402.20"	6543.3493335361	0.350803929897996	0.0837049903537446	4.19095598022851	2.77781555247295e-05	0.000405343318170709
"ENSG00000003436.16"	7177.99159661935	-0.00169560792979862	0.0630890606191835	-0.0268764174510951	0.978558302869553	0.989559530252881
"ENSG00000003509.16"	796.374128486234	-0.0907013363131862	0.147598530888516	-0.614513815057512	0.538875846790407	0.742970152090667
"ENSG00000003756.17"	7500.34817557134	-0.0195911115158619	0.0897319741587366	-0.218329215416626	0.827172612867586	0.917785158457592
"ENSG00000003987.14"	30.6585006458664	0.56030438539821	0.716429096533903	0.782079326633958	0.434167955458555	NA
"ENSG00000003989.17"	108.457903688082	-1.94694881969874	2.67596621944282	-0.727568534143951	0.466877748160866	0.690936933918772
"ENSG00000004059.11"	4306.7891185186	0.267520550890875	0.0792950389974732	3.37373629262481	0.000741553709820563	0.00671218631892807
"ENSG00000004139.14"	249.49346104232	-0.0443088510634932	0.270652672355334	-0.163711116088006	0.869958566247275	0.939145583845867
"ENSG00000004142.12"	6900.98183417423	-0.00948429550595324	0.0690553183904665	-0.13734344764476	0.89075932955037	0.949633137106752
"ENSG00000004399.12"	4466.79830563201	0.246842291846521	0.0705052644280153	3.50104767139116	0.000463432937469022	0.0044704402756553
